tradename,busloc,jobstatusdesc,licencetypes,comdistnm
PAYLESS SHOE SOURCE #5881,#110 296 SHAWVILLE BV SE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,SHAWNESSY                               
PAYLESS SHOE SOURCE #5892,#240 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
PAYLESS SHOE SOURCE #5912,#6 1200 37 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,ROSSCARROCK                             
PAYLESS SHOE SOURCE #5979,#143 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
PAYLESS SHOE SOURCE #6956,#3 100 ANDERSON RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,WILLOW PARK                             
PAYLESS SHOE SOURCE #6995 ,#252 317 7 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,DOWNTOWN COMMERCIAL CORE                
PAYLESS SHOESOURCE #4713,#3 4703 130 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MCKENZIE TOWNE                          
PAZ AUTOMOTIVE,#4 4403 14 ST NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MCCALL                                  
PAZYRYK ARTS,1401 9 AV SE CALGARY,Licensed,RETAIL DEALER - PREMISES,INGLEWOOD                               
PAZZER'S PUB,#1 5032 16 AV NW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MONTGOMERY                              
PBF REDBIRDS PRO BASEBALL FORCE,#8 401 33 ST NE CALGARY,Renewal Licensed,"SCHOOL (PROV. NOT REQUIRED), RETAIL DEALER - PREMISES",FRANKLIN                                
PBX PROPERTIES ,1220 KENSINGTON RD NW CALGARY,Renewal Invoiced,OFFICE BUILDING OPERATOR,HILLHURST                               
PCA VALENCE ENGINEERING TECHNOLOGIES,#151 4999 43 ST SE CALGARY,Renewal Licensed,CONTRACTOR,EASTFIELD                               
PCC GROUP,#825 808 4 AV SW CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),DOWNTOWN COMMERCIAL CORE                
PCL BUILDERS,#100 2882 11 ST NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
PCL CONSTRUCTION MANAGEMENT,2882 11 ST NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
PDS FIRE PROTECTION ,915A 48 AV SE CALGARY,Renewal Licensed,CONTRACTOR,HIGHFIELD                               
PEACE OF MIND CREMATION AND FUNERAL SERVICES,5502 2 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER                              
PEACE OF MIND MASSAGE THERAPY CENTRE,#740 1110 PANATELLA BV NW CALGARY,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",PANORAMA HILLS                          
PEACH TREE PLACE,2420 14 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),UPPER MOUNT ROYAL                       
PEACOCK BOUTIQUE CONSIGNMENT,1415 11 ST SW CALGARY,Licensed,SECONDHAND DEALER,BELTLINE                                
PEACOCK BOUTIQUE CONSIGNMENT,#4 1145 KENSINGTON CR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",HILLHURST                               
PEAK CONTRACTING SERVICES,#63 4511 GLENMORE TR SE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH FOOTHILLS                         
PEAK HEALTH & PERFORMANCE,5004 ELBOW DR SW CALGARY,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),ELBOYA                                  
PEAK HEATING & AIR CONDITIONING,#120 5050 106 AV SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),EAST SHEPARD INDUSTRIAL                 
PEAK INSTALLATIONS,#122 3442 118 AV SE CALGARY,Renewal Licensed,CONTRACTOR,SHEPARD INDUSTRIAL                      
PEAK OF THE MARKET,#118 10761 25 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,CALGARY INTERNATIONAL AIRPORT           
PEAK POWER SPORT DEVELOPMENT,1301 16 AV NW CALGARY,Renewal Licensed,PERSONAL SERVICE,HILLHURST                               
PEAK SCAFFOLD ,743 41 AV NE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, WHOLESALER, CONTRACTOR",GREENVIEW INDUSTRIAL PARK               
PEARL AND DOT BRIDAL BOUTIQUE,#213 1117 1 ST SW CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,BELTLINE                                
PEARL EXPRESS TAKE-OUT & DELIVERY,4824 RICHMOND RD SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),GLENBROOK                               
PEARL HOUSE CAFE,#142 328 CENTRE ST SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),CHINATOWN                               
PEARL NAILS & SPA,#142 30 SPRINGBOROUGH BV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,SPRINGBANK HILL                         
PEARL THE SALON,255 BARCLAY PR SW CALGARY,Renewal Licensed,PERSONAL SERVICE,EAU CLAIRE                              
PEARLE VISION,#174 100 ANDERSON RD SE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,WILLOW PARK                             
PEARLE VISION #5800,#33 1200 37 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,ROSSCARROCK                             
PEARLE VISION #5801,#1144 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MARLBOROUGH                             
PEARLE VISION #5855,#1691 1632 14 AV NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL           
PEARLE VISION #5859,#145 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
PEARLE VISION #7811,#2HA 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VARSITY                                 
PEARLE VISION #7813,#157 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
PEASANT CHEESE,1249 KENSINGTON RD NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",HILLHURST                               
PEASEBLOSSOMS,1417 11 ST SW CALGARY,Licensed,RETAIL DEALER - NO PREMISES,BELTLINE                                
PEASEBLOSSOMS,1417 11 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BELTLINE                                
PEBBLE STREET,#220A 999 36 ST NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
PEBBLE STREET,#220A 999 36 ST NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
PECO FILTERS,1351 HASTINGS CR SE CALGARY,Renewal Licensed,WHOLESALER,HIGHFIELD                               
PEDALHEAD/SKI WORKS,#122 13226 MACLEOD TR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,LAKE BONAVISTA                          
PEDDIE ROOFING & WATERPROOFING,3352 46 AV SE CALGARY,Renewal Licensed,CONTRACTOR,GOLDEN TRIANGLE                         
PEDINI CALGARY,1505 15 AV SW CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),SUNALTA                                 
PEERLESS CLEANERS,2434 KENSINGTON RD NW CALGARY,Renewal Licensed,FABRIC CLEANING,WEST HILLHURST                          
PEERLESS DENTAL TECHNOLOGIES,#200 2050 10 AV SW CALGARY,Renewal Licensed,MANUFACTURER,SUNALTA                                 
PEERLESS PEARL TEA SHOP,130 2 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CHINATOWN                               
PEERLESS TRAINING INSTITUTE,#203 2635 37 AV NE CALGARY,Licensed,SCHOOL (PROV. APPROVED),HORIZON                                 
PEET'S BARBER SHOP,#105 831 EDMONTON TR NE CALGARY,Renewal Invoiced,PERSONAL SERVICE,CRESCENT HEIGHTS                        
PEGASUS GYMNASTICS,#10 11166 42 ST SE CALGARY,Pending Renewal,SCHOOL (PROV. NOT REQUIRED),EAST SHEPARD INDUSTRIAL                 
PEGASUS RESTAURANT,4824 16 ST SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",ALTADORE                                
PEIGAN TRAIL STORAGE,3751 46 AV SE CALGARY,Renewal Licensed,WAREHOUSING,EASTFIELD                               
PEKING ACUPUNCTURE & HERBS CENTRE,#1A 123 14 ST NW CALGARY,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL), FOOD SERVICE - PREMISES (NO SEATING)",HILLHURST                               
PEKING DRAGON RESTAURANT,1904 4 ST SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MISSION                                 
PEKING GARDEN RESTAURANT,#416 4625 VARSITY DR NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),VARSITY                                 
PEKING HOUSE 98,4125 4 ST NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),HIGHWOOD                                
PEKING PEKING,#232 8338 18 ST SE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",RIVERBEND                               
PELICAN PIER SEAFOOD BAR,#10 4404 14 ST NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",NORTH HAVEN                             
PELOTON CYCLING,1005 10 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",BELTLINE                                
PEMSCO ,#D 7003 5 ST SE CALGARY,Renewal Licensed,WHOLESALER,FAIRVIEW INDUSTRIAL                     
PENBROOKE LIQUOR,#318 5320 8 AV SE CALGARY,Renewal Licensed,LIQUOR STORE,PENBROOKE MEADOWS                       
PENNINGTON'S #5340,#91 4307 130 AV SE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,MCKENZIE TOWNE                          
PENNINGTON'S SUPERSTORE,#62 3630 BRENTWOOD RD NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BRENTWOOD                               
PENNINGTONS WAREHOUSE #5140,#250 3545 32 AV NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
PENNINGTON'S WEARHOUSE #5116,#126 10408 MACLEOD TR SE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,WILLOW PARK                             
PENNYBUN'S MUSHROOMS,4528 14 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,MCCALL                                  
PENSKE TRUCK LEASING,6215 48 ST SE CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",FOOTHILLS                               
PENSKE TRUCK LEASING CANADA,3650 46 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),EASTFIELD                               
PENTAIR VALVES & CONTROLS,8080 40 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
PENTLAND PLACE,924 7 AV SW CALGARY,Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),DOWNTOWN COMMERCIAL CORE                
PEONY CHINESE NATURAL HERBS,#127 328 CENTRE ST SE CALGARY,Licensed,FOOD SERVICE - PREMISES,CHINATOWN                               
PEOPLES JEWELLERS #5433,#210 5111 NORTHLAND DR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BRENTWOOD                               
PEOPLES JEWELLERS #5468,#1741 1632 14 AV NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL           
PEOPLES STORE #5131,#3EA 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VARSITY                                 
PEOPLES STORE #5132,#1453 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MARLBOROUGH                             
PEOPLES STORE #5134,#73 100 ANDERSON RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,WILLOW PARK                             
PEOPLES STORE #5136,#249 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
PEOPLES STORE #5600,#238 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
PEOPLES TABLE TENNIS CLUB ASSOCIATION,#4 700 33 ST NE CALGARY,Renewal Invoiced,"ENTERTAINMENT ESTABLISHMENT, PERSONAL SERVICE",FRANKLIN                                
PEPPER MINT PATTY'S,850 16 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",SUNALTA                                 
PEPPINO DELI,#101 1240 KENSINGTON RD NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),HILLHURST                               
PEPPINO GOURMET,717 2 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,BRIDGELAND/RIVERSIDE                    
PEPPINO GOURMET FOODS,#209 435 4 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE                
PEPSI BOTTLING GROUP (THE),4815 78 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,FOOTHILLS                               
PERCY'S PRINTING,4540 MANILLA RD SE CALGARY,Renewal Licensed,MANUFACTURER,MANCHESTER INDUSTRIAL                   
PERFECT FINISHING CARPENTRY,#10 1815 27 AV NE CALGARY,Expired,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),SOUTH AIRWAYS                           
PERFECT FIT CAR COVER MFG & INJECTION MOULDING,5403 44 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
PERFECT HOME,48 HERITAGE GA SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,EAST FAIRVIEW INDUSTRIAL                
PERFECT SCORE AUTO SERVICE,#4 5019 11 ST SE CALGARY,Expired,MOTOR VEHICLE REPAIR AND SERVICE (1),HIGHFIELD                               
PERFECTION MILLWORK,3805 2 ST NE CALGARY,Licensed,"MANUFACTURER, CONTRACTOR",GREENVIEW INDUSTRIAL PARK               
PERFEXION SKIN CARE ,#3 2403 33 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,SOUTH CALGARY                           
PERFORMANCE CYCLE & AUTO,114 FORGE RD SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),FAIRVIEW INDUSTRIAL                     
PERFORMANCE TRAINING CENTRE (PTC),149 CANADA OLYMPIC RD SW CALGARY,Pending Renewal,"CHARITABLE ORGANIZATION, PERSONAL SERVICE",CANADA OLYMPIC PARK                     
PERFORMANCE WASTE MANAGEMENT,#6 4451 64 AV SE CALGARY,Renewal Licensed,CONTRACTOR,FOOTHILLS                               
PERFORMER ELECTRIC,#207 3309 19 ST NE CALGARY,Pending Renewal,CONTRACTOR,NORTH AIRWAYS                           
PERFORMER ELECTRIC,#207 3309 19 ST NE CALGARY,Pending Renewal,CONTRACTOR,NORTH AIRWAYS                           
PERFUME SHOPPE (THE),#139 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
PERIDOT CALGARY,#101 638 11 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BELTLINE                                
PERKINS FAMILY RESTAURANT & BAKERY,3030 23 ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SOUTH AIRWAYS                           
PERM,#1 3956 29 ST NE CALGARY,Renewal Licensed,MANUFACTURER,HORIZON                                 
PERMA DECK & RAILS,#10 5935 35 ST SE CALGARY,Renewal Invoiced,CONTRACTOR,FOOTHILLS                               
PERMASTEEL PROJECTS (CALGARY),#139 808 42 AV SE CALGARY,Renewal Licensed,CONTRACTOR,HIGHFIELD                               
PEROGY BOYZ FOOD TRUCK  (CGY-101),#102 3740A 11A ST NE CALGARY,Renewal Licensed,FULL SERVICE FOOD VEHICLE,MCCALL                                  
PERPETUAL WELLNESS CHINESE MEDICINE CENTRE ,#283 1623 CENTRE ST NW CALGARY,Renewal Invoiced,"MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CRESCENT HEIGHTS                        
PERSIAN RUGS AND CURTAINS,#2G 4710 17 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FOREST LAWN                             
PERSIMMON CONTRACTING,10 SPRUCE CE SW CALGARY,Renewal Licensed,CONTRACTOR,SPRUCE CLIFF                            
PERSONAL THYME,#10 1420 40 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,MCCALL                                  
PERSONALIZED CLEANING SERVICES,#105 412 53 AV SE CALGARY,Renewal Licensed,CLEANING SERVICE (COMMERCIAL & RESIDENTIAL),MANCHESTER INDUSTRIAL                   
PE'S SANDWICHES & DELI,3229 17 AV SE CALGARY,Renewal Invoiced,FOOD SERVICE - PREMISES (SEATING),SOUTHVIEW                               
PET HEAVEN CREMATORIUM & FUNERAL CHAPEL,5648A BURBANK RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BURNS INDUSTRIAL                        
PET PLANET,#7131 8650 112 AV NW CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,ROYAL VISTA                             
PET PLANET,#104 450 COUNTRY HILLS BV NE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,COUNTRY HILLS VILLAGE                   
PET PLANET,#130A 1600 90 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BAYVIEW                                 
PET PLANET,#3133 150 MILLRISE BV SW CALGARY,Licensed,RETAIL DEALER - PREMISES,MILLRISE                                
PET PLANET,#210 11 MCKENZIE TOWNE AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MCKENZIE TOWNE                          
PET PLANET,#828 11520 24 ST SE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,SHEPARD INDUSTRIAL                      
PET PLANET,#130 815 17 AV SW CALGARY,Expired,RETAIL DEALER - PREMISES,MOUNT ROYAL LOWER                       
PET PLANET,#4032 356 CRANSTON RD SE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,CRANSTON                                
PET PLANET,#10 12030 SYMONS VALLEY RD NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,EVANSTON
PET PLANET,#327 150 CROWFOOT CR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,ARBOUR LAKE                             
PET PLANET,#55 10233 ELBOW DR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SOUTHWOOD                               
PET PLANET,4800 RICHMOND RD SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,GLENBROOK                               
PET PLANET BEDDINGTON,#110 100 BEDDINGTON BV NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BEDDINGTON HEIGHTS                      
PET PLANET BRENTWOOD,#311 3630 BRENTWOOD RD NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BRENTWOOD                               
PET PLANET SADDLERIDGE,70 SADDLETOWNE CI NE CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",SADDLE RIDGE                            
PET PLANET WALDEN,#250 151 WALDEN GA SE CALGARY,Licensed,RETAIL DEALER - PREMISES,WALDEN                                  
PET VALU,#120 15 SAGE HILL PZ NW CALGARY,Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",SAGE HILL                               
PET VALU,#126 2220 68 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MONTEREY PARK                           
PET VALU,#7026 2060 SYMONS VALLEY PY NW CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",EVANSTON
PET VALU #3201,#162 8888 COUNTRY HILLS BV NW CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",ROYAL VISTA                             
PET VALU #3204,#150 8835 MACLEOD TR SW CALGARY,Licensed,RETAIL DEALER - PREMISES,HAYSBORO                                
PET VALU #3204,#290 9737 MACLEOD TR SW CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",HAYSBORO                                
PET VALU #3209,#208 70 SHAWVILLE BV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SHAWNESSY                               
PET VALU #3244,#1812 1632 14 AV NW CALGARY,Licensed,RETAIL DEALER - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL           
PET VALU CANADA,#50 7740 18 ST SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,OGDEN                                   
PETALS 'N BLOOMS / NORTHWEST/SOUTHWEST FLORIST,#109 4820 NORTHLAND DR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BRENTWOOD                               
PETE THE ELECTRICIAN,#14 4550 112 AV SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
PETE THE PLUMBER,#14 4550 112 AV SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
PETER HUGHES LANDSCAPE,7203 FLINT PL SE CALGARY,Renewal Licensed,CONTRACTOR,FAIRVIEW INDUSTRIAL                     
PETER ROSS ROOFING,5092 80 AV SE CALGARY,Pending Renewal,CONTRACTOR,FOOTHILLS                               
PETER'S BARBERSHOP & HAIR STYLING,#47 8720 MACLEOD TR SE CALGARY,Pending Renewal,PERSONAL SERVICE,ACADIA                                  
PETERS' DRIVE-IN,219 16 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,CRESCENT HEIGHTS                        
PETERS EDUCATIONAL SERVICES,#264 3359 27 ST NE CALGARY,Renewal Licensed,SCHOOL (DRIVER EDUCATION),HORIZON                                 
PETERSON INSTRUMENTS SERVICE,#123 5655 10 ST NE CALGARY,Renewal Licensed,WHOLESALER,SKYLINE EAST                            
PETEX BUILDING,600 6 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
PETIDCO SALES AND MARKETING,#6 4500 5 ST NE CALGARY,Renewal Licensed,"WAREHOUSING, WHOLESALER",GREENVIEW INDUSTRIAL PARK               
PETITE CUISINE,#16F 6455 MACLEOD TR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),MEADOWLARK PARK                         
PETLAND,40 CROWFOOT TC NW CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,ARBOUR LAKE                             
PETLAND,290 STEWART GR SW CALGARY,Pending Renewal,KENNEL SERVICE/PET DEALER,SIGNAL HILL                             
PETLAND,#323 130 COUNTRY VILLAGE RD NE CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,COVENTRY HILLS                          
PETLAND,#300 4915 130 AV SE CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,MCKENZIE TOWNE                          
PETLAND,#580 303 SHAWVILLE BV SE CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, FOOD SERVICE - PREMISES",SHAWNESSY                               
PETLAND,3363 26 AV NE CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,SUNRIDGE                                
PETLAND,#300 33 HERITAGE MEADOWS WY SE CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,EAST FAIRVIEW INDUSTRIAL                
PETRA STONE,7408 36 ST NE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",SADDLE RIDGE INDUSTRIAL                 
PETRIN MECHANICAL (ALBERTA),6445 10 ST SE CALGARY,Renewal Licensed,CONTRACTOR,BURNS INDUSTRIAL                        
PETRO CANADA,2655 36 ST NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES",SUNRIDGE                                
PETRO CANADA,5004 CENTRE ST NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",THORNCLIFFE                             
PETRO CANADA,70 FREEPORT BV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",STONEY 2                                
PETRO CANADA,10120 ELBOW DR SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",SOUTHWOOD                               
PETRO CANADA,#432 8338 18 ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",RIVERBEND                               
PETRO CANADA,15 ERIN WOODS BV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",ERIN WOODS
PETRO CANADA,#100 177 COUNTRY HILLS BV NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES (NO SEATING)",COUNTRY HILLS                           
PETRO CANADA - FALCONRIDGE,1051 FALCONRIDGE DR NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES (NO SEATING)",FALCONRIDGE                             
PETRO CANADA - OBCR,116 89 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES",WEST SPRINGS
PETRO CANADA 39097,#818 19489 SETON CR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES (NO SEATING)",SETON                                   
PETRO CANADA BLACKFOOT,1840 9 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",INGLEWOOD                               
PETRO CANADA HUNTINGTON HILLS GAS BAR,520 64 AV NE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",HUNTINGTON HILLS                        
