District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
New Haven School District,Christopher Columbus Academy,Public Schools,934111,"255 Blatchley Ave.
New Haven, CT 06513
",41.30875636700006, -72.89931433099997,6513,203-691-2500,,,,
Bethel School District,Ralph M. T. Johnson School,Public Schools,90511,"500 Whittlesey Dr.
Bethel, CT 06801
",41.383846868000035, -73.39662079799996,6801,203-794-8700,,,,
Putnam School District,Putnam School District,Public School Districts,1160011,"126 CHURCH STREET
PUTNAM, CT 06260
",41.918766721000054, -71.91208411799994,6260,860-963-6900,,,,
Stratford School District,Eli Whitney School,Public Schools,1381311,"1130 Huntington Rd.
Stratford, CT 06615
",41.22213362400004, -73.13478742199999,6615,203-385-4198,,,,
Sterling School District,Sterling Community School,Public Schools,1360311,"251 Sterling Rd.
Sterling, CT 06377
",41.70764406700005, -71.83851908299994,6377,860-564-2728,,,,
Regional School District 18,Lyme-Old Lyme Middle School,Regional Schools,2185112,"53 Lyme St.
Old Lyme, CT 06371
",41.31927890800006, -72.32929605599998,6371,860-434-2568,,,,
Department of Rehabilitation Services,Department of Rehabilitation Services,State Agencies,3510015,"55 Farmington Avenue
Hartford, CT 06105
",41.76807318300007, -72.68749958299998,6105,860-424-4818,,,,
Stamford School District,Stillmeadow School,Public Schools,1352111,"800 Stillwater Rd.
Stamford, CT 06902
",41.06879944000008, -73.55811532699994,6902,203-977-4507,,,,
New Haven School District,Fair Haven School,Public Schools,931611,"164 Grand Ave.
New Haven, CT 06513
",41.30921267100007, -72.89282813699998,6513,203-691-2600,,,,
Connecticut Technical High School System,Norwich Technical High School,CT Technical High Schools,9002016,"7 Mahan Drive
Norwich, CT 06360
",41.54537493300006, -72.07823625099996,6360,860-889-8453,,,,
West Hartford School District,Braeburn School,Public Schools,1550211,"45 Braeburn Rd.
West Hartford, CT 06107
",41.76272313800007, -72.76130553799999,6107,860-561-2200,,,,
New Haven School District,East Rock Community Magnet School,Public Schools,934611,"133 Nash St.
New Haven, CT 06511
",41.319311268000035, -72.90791496299994,6511,203-946-8867,,,,
Monroe School District,Masuk High School,Public Schools,856111,"1014 Monroe Tpke.
Monroe, CT 06468
",41.348985982000045, -73.19794890499998,6468,203-452-5823,,,,
Somers School District,Somers Elementary School,Public Schools,1290411,"55 Ninth District Rd.
Somers, CT 06071
",41.98052934800006, -72.46394822499997,6071,860-749-2270,,,,
Seymour School District,Bungay School,Public Schools,1240111,"35 Bungay Rd.
Seymour, CT 06483
",41.387480261000064, -73.08439729299994,6483,203-881-7500,,,,
Highville  Charter School District,Highville Charter School,Public Charter Schools,2860113,"130 Leeder Hill Dr.
Hamden, CT 06517
",41.34636799800006, -72.92156719699994,6517,203-287-0528,,,,
Salisbury School District,Salisbury School District,Public School Districts,1220011,"WARREN TURNPIKE ROAD
Falls Village, CT 06031
",41.95221620700005, -73.34437621299998,6031,860-435-9871,,,,
Enfield School District,Enfield High School,Public Schools,496111,"1264 Enfield St.
Enfield, CT 06082
",41.97911256200007, -72.59226826599996,6082,860-253-5540,,,,
Bridgeport School District,Waltersville School,Public Schools,153011,"150 Hallett Street
Bridgeport, CT 06608
",41.18199959900005, -73.17604629699997,6608,203-275-2400,,,,
Darien School District,Middlesex Middle School,Public Schools,355111,"204 Hollow Tree Ridge Rd.
Darien, CT 06820
",41.07402734300007, -73.49869906699996,6820,203-655-2518,,,,
North Stonington School District,North Stonington School District,Public School Districts,1020011,"311 NORWICH/WESTERLY ROAD
North Stonington, CT 06359
",41.458536682000044, -71.88019625999993,6359,860-535-2800,,,,
Naugatuck School District,Hop Brook Elementary School,Public Schools,880511,"75 Crown Street
Naugatuck, CT 06770
",41.50140518400008, -73.05485484499997,6770,203-720-5231,,,,
Hampton School District,Hampton Elementary School,Public Schools,630111,"380 Main St.
Hampton, CT 06247
",41.79252278800004, -72.06042160999993,6247,860-455-9409,,,,
West Haven School District,Forest School,Public Schools,1560311,"95 Burwell Rd.
West Haven, CT 06516
",41.29781775600003, -72.96901700999996,6516,203-931-6800,,,,
Meriden School District,Benjamin Franklin School,Public Schools,800111,"426 West Main St.
Meriden, CT 06450
",41.53299954000005, -72.78927202199998,6450,203-235-7997,,,,
Bristol School District,Bristol Central High School,Public Schools,176111,"480 Wolcott St.
Bristol, CT 06010
",41.660323977000076, -72.95870503599997,6010,860-584-7735,,,,
Hamden School District,Bear Path School,Public Schools,621211,"10 Kirk Rd.
Hamden, CT 06514
",41.39034910600003, -72.92659941599999,6514,203-407-2015,,,,
Middletown School District,Woodrow Wilson Middle School,Public Schools,835411,"370 Hunting Hill Ave.
Middletown, CT 06457
",41.540667703000054, -72.64717426799996,6457,860-347-8594,,,,
New Haven School District,Lincoln-Bassett School,Public Schools,932011,"130 Bassett St.
New Haven, CT 06511
",41.331573852000076, -72.93088685299995,6511,203-946-8839,,,,
Mansfield School District,Annie E. Vinton School,Public Schools,780411,"306 Stafford Rd.
Mansfield Center, CT 06250
",41.74508516000003, -72.26065406899994,6250,860-423-3086,,,,
Regional School District 18,Lyme Consolidated School,Regional Schools,2180112,"478 Hamburg Road
Lyme, CT 06371
",41.41321762700005, -72.33667931899998,6371,860-434-1233,,,,
Redding School District,John Read Middle School,Public Schools,1175111,"486 Redding Road
Redding, CT 06896
",41.30479136500003, -73.40260798199995,6896,203-938-2533,,,,
Hartland School District,Hartland School,Public Schools,650111,"30 South Rd.
East Hartland, CT 06027
",41.99702484100004, -72.90775180999998,6027,860-653-7207,,,,
Cromwell School District,Woodside Intermediate School,Public Schools,330311,"30 Woodside Rd.
Cromwell, CT 06416
",41.623890464000056, -72.66046589999996,6416,860-632-3564,,,,
East Haven School District,Overbrook Elementary School,Public Schools,441811,"54 Gerrish Ave.
East Haven, CT 06512
",41.27896812200004, -72.87991025899998,6512,203-468-3305,,,,
Danbury School District,DPS Early Childhood Center,Public Schools,340111,"17 Cottage Street
Danbury, CT 06810
",41.392461971000046, -73.44315367999997,6810,203-797-4832,,,,
Vernon School District,Rockville High School,Public Schools,1466111,"70 Loveland Hill
Vernon, CT 06066
",41.85690100900007, -72.48249401099997,6066,860-870-6050,,,,
Groton School District,Carl C. Cutler Middle School,Public Schools,595311,"160 Fishtown Rd.
Mystic, CT 06355
",41.347613317000025, -71.99897192899994,6355,860-572-5830,,,,
Sharon School District,Sharon Center School,Public Schools,1250111,"80 Hilltop Rd.
Sharon, CT 06069
",41.88144655000008, -73.47298526099996,6069,860-364-5153,,,,
Windham School District,Charles H. Barrows STEM Academy,Public Schools,1630411,"141 Tuckie Road
North Windham, CT 06256
",41.71875469500003, -72.17280853199998,6256,860-465-2610,,,,
Wilton School District,Wilton High School,Public Schools,1616111,"395 Danbury Rd.
Wilton, CT 06897
",41.21092879300005, -73.43195314299999,6897,203-762-0381,,,,
Wethersfield School District,Highcrest School,Public Schools,1591111,"95 Highcrest Rd.
Wethersfield, CT 06109
",41.67892229100005, -72.68270609099994,6109,860-571-8380,,,,
Norwalk School District,Briggs High School,Public Schools,1036311,"350 Main St.
Norwalk, CT 06851
",41.13868878900007, -73.42613527199995,6851,203-899-2820,,,,
Litchfield School District,Center School,Public Schools,740211,"P.O. Box 110, 125 West St.
Litchfield, CT 06759
",41.75107721200004, -73.19627670099999,6759,860-567-7510,,,,
Killingly School District,Killingly School District,Public School Districts,690011,"PO BOX 210, 79 Westfield Avenue
Danielson, CT 06239
",41.80234827700008, -71.87481714299997,6239,860-779-6600,,,,
Trumbull School District,Madison Middle School,Public Schools,1445111,"4630 Madison Ave.
Trumbull, CT 06611
",41.25513175100008, -73.24569660499998,6611,203-452-4499,,,,
East Hampton School District,East Hampton Middle School,Public Schools,425111,"19 Childs Rd.
East Hampton, CT 06424
",41.56960823000003, -72.52400029599994,6424,860-365-4060,,,,
Berlin School District,Mary E. Griswold School,Public Schools,70511,"133 Heather Ln.
Kensington, CT 06037
",41.63614711900004, -72.78513593499997,6037,860-828-6336,,,,
North Canaan School District,North Canaan Elementary School,Public Schools,1000111,"P.O. Box 758, 90 Pease St.
North Canaan, CT 06018
",42.026737396000044, -73.32184735999994,6018,860-824-5149,,,,
Preston School District,Preston Plains School,Public Schools,1145111,"1 Route 164
Preston, CT 06365
",41.48933736400005, -71.98399581399997,6365,860-889-3831,,,,
Bridgeport School District,Black Rock School,Public Schools,150311,"545 Brewster St.
Bridgeport, CT 06605
",41.15665626300006, -73.22543601699994,6605,203-576-7500,,,,
New Haven School District,Wilbur Cross High School,Public Schools,936111,"181 Mitchell Dr.
New Haven, CT 06511
",41.324065190000056, -72.90865203999994,6511,203-946-8728,,,,
Orange School District,Orange School District,Public School Districts,1070011,"637 ORANGE CENTER ROAD
Orange, CT 06477
",41.280079529000034, -73.02694452199995,6477,203-891-8020,,,,
Suffield School District,Suffield Middle School,Public Schools,1395111,"350 Mountain Rd.
Suffield, CT 06078
",41.983502231000045, -72.66398997199997,6078,860-668-3820,,,,
East Granby School District,East Granby School District,Public School Districts,400011,"33 Turkey Hill Road, Box 674
East Granby, CT 06026
",41.94415336700007, -72.73178522999996,6026,860-653-6486,,,,
North Branford School District,Totoket Valley Elementary School,Public Schools,990611,"1388 Middletown Ave.
Northford, CT 06472
",41.39227727200006, -72.79229590199998,6472,203-484-1455,,,,
Fairfield School District,Holland Hill School,Public Schools,510411,"105 Meadowcroft Road
Fairfield, CT 06824
",41.171347913000034, -73.24492051999994,6824,203-255-8314,,,,
Derby School District,Derby School District,Public School Districts,370011,"35 Fifth Street
Derby, CT 06418
",41.322953760000075, -73.09025027199993,6418,203-736-5027,,,,
Bridgeport School District,Central High School,Public Schools,156211,"1 Lincoln Blvd.
Bridgeport, CT 06606
",41.18936172300005, -73.20738609699998,6606,203-576-7377,,,,
Regional School District 15,Pomperaug Regional High School,Regional Schools,2156212,"234 Judd Rd.
Southbury, CT 06488
",41.50469267100004, -73.16193203199998,6488,203-262-3200,,,,
Willington School District,Willington School District,Public School Districts,1600011,"40 Old Farms Road, Suite A
Willington, CT 06279
",41.87046494500004, -72.25991545599999,6279,860-487-3130,,,,
Bristol School District,Ivy Drive School,Public Schools,171911,"160 Ivy Dr.
Bristol, CT 06010
",41.70586885700004, -72.90116339099995,6010,860-584-7844,,,,
Hamden School District,Dunbar Hill School,Public Schools,620311,"315 Lane St.
Hamden, CT 06514
",41.366534082000044, -72.94097507999999,6514,203-407-2025,,,,
Windham School District,North Windham School,Public Schools,1630311,"112 Jordan Ln.
North Windham, CT 06256
",41.73801743800004, -72.15877318099996,6256,860-465-2400,,,,
Branford School District,John B. Sliney School,Public Schools,141611,"23 Eades St.
Branford, CT 06405
",41.279269475000035, -72.81230437899995,6405,203-481-5386,,,,
Waterbury School District,West Side Middle School,Public Schools,1515211,"483 Chase Parkway
Waterbury, CT 06708
",41.54737238700005, -73.06170364599996,6708,203-574-8120,,,,
Fairfield School District,Stratfield School,Public Schools,511411,"1407 Melville Ave.
Fairfield, CT 06825
",41.195606902000065, -73.23720945099996,6825,203-255-8332,,,,
Manchester School District,Washington School,Public Schools,771411,"94 Cedar St.
Manchester, CT 06040
",41.76697736300008, -72.53326666199996,6040,860-647-3332,,,,
Judicial Centers,Bridgeport Detention Center,State Agency Facilities,3480115,"60 Housatonic Ave
Bridgeport, CT 06604
",41.18221726500008, -73.18893392999996,6604,203-579-3671,,,,
Waterbury School District,North End Middle School,Public Schools,1515311,"534 Bucks Hill Rd.
Waterbury, CT 06704
",41.605306979000034, -73.03044151499995,6704,203-574-8097,,,,
Avon School District,Avon Middle School,Public Schools,45111,"375 West Avon Rd.
Avon, CT 06001
",41.79292329200007, -72.86222353199997,6001,860-404-4770,,,,
New Britain School District,Vance School,Public Schools,891511,"183 Vance St.
New Britain, CT 06052
",41.65386822700003, -72.79227656899997,6052,860-225-8731,,,,
Groton School District,West Side Middle School,Public Schools,595211,"250 Brandegee Avenue
Groton, CT 06340
",41.338479577000044, -72.06776309999998,6340,860-449-5630,,,,
West Hartford School District,King Philip Middle School,Public Schools,1555111,"100 King Philip Dr.
West Hartford, CT 06117
",41.792011837000075, -72.74291511999996,6117,860-233-8236,,,,
Stafford School District,Stafford Elementary School,Public Schools,1340611,"11 Levinthal Run
Stafford Springs, CT 06076
",41.972838194000076, -72.30407586999996,6076,860-684-6677,,,,
Easton School District,Helen Keller Middle School,Public Schools,465111,"360 Sport Hill Rd.
Easton, CT 06612
",41.24380780900003, -73.27379344199994,6612,203-268-8651,,,,
Trumbull School District,Frenchtown Elementary School,Public Schools,1441011,"30 Frenchtown Rd.
Trumbull, CT 06611
",41.22967165000006, -73.21166434999998,6611,203-452-4227,,,,
Learn,The Friendship School,Regional Education Service Center Schools,2450214,"24 Rope Ferry Rd.
Waterford, CT 06385
",41.34219938100006, -72.13215111999995,6385,860-447-4049,,,,
Madison School District,Kathleen H. Ryerson Elementary School,Public Schools,760311,"982 Durham Rd.
Madison, CT 06443
",41.33982432000005, -72.62867217199994,6443,203-245-6440,,,,
Marlborough School District,Marlborough School District,Public School Districts,790011,"25 School Drive
Marlborough, CT 06447
",41.62788657700003, -72.45955404199998,6447,860-295-6236,,,,
Sprague School District,Sayles School,Public Schools,1330111,"25 Scotland Road
Baltic, CT 06330
",41.62313571900006, -72.08475133599995,6330,860-822-8264,,,,
Danbury School District,Broadview Middle School,Public Schools,345111,"72 Hospital Ave.
Danbury, CT 06810
",41.40797474500005, -73.44058834299994,6810,203-797-4861,,,,
Eastford School District,Eastford School District,Public School Districts,390011,"12 WESTFORD ROAD, BOX 158
Eastford, CT 06242
",41.90240924300008, -72.08194220399997,6242,860-974-1130,,,,
Ledyard School District,Juliet W. Long School,Public Schools,720311,"1854 Route12
Gales Ferry, CT 06335
",41.43242754400006, -72.06984705999997,6335,860-464-2780,,,,
Department of Mental Health and Addiction Services,Connecticut Mental Health Center,State Agency Facilities,3370415,"34 Park St.
New Haven, CT 06790
",41.30518577000004, -72.93629063399999,6790,860-262-7009,,,,
Westbrook School District,Westbrook High School,Public Schools,1546111,"156 McVeagh Rd.
Westbrook, CT 06498
",41.29758845200007, -72.45412103399997,6498,860-399-6214,,,,
Coventry School District,Coventry High School,Public Schools,326111,"78 Ripley Hill Rd.
Coventry, CT 06238
",41.78292162100007, -72.31371922399995,6238,860-742-7346,,,,
Norwalk School District,Wolfpit School,Public Schools,1032411,"One Starlight Dr.
Norwalk, CT 06851
",41.13525283600006, -73.38896225099995,6851,203-899-2980,,,,
Waterbury School District,Waterbury School District,Public School Districts,1510011,"236 Grand Street, Chase Office Building
WATERBURY, CT 06702
",41.55440101700003, -73.04337340899997,6702,203-574-8004,,,,
Canton School District,Canton High School,Public Schools,236111,"76 Simonds Avenue
Canton, CT 06019
",41.82377143900004, -72.91511631599997,6019,860-693-7707,,,,
Regional School District 15,Gainfield Elementary School,Regional Schools,2150412,"307 Old Field Rd.
Southbury, CT 06488
",41.47970774500004, -73.22161907799995,6488,203-264-5312,,,,
Thompson School District,Tourtellotte Memorial High School,Public Schools,1416111,"785 Riverside Dr.
North Grosvenordale, CT 06255
",41.97557376200007, -71.90074934899997,6255,860-923-9303,,,,
Woodstock School District,Woodstock Elementary School,Public Schools,1690211,"24 Frog Pond Rd.
Woodstock, CT 06281
",41.94345508400005, -71.96242279399996,6281,860-928-0471,,,,
Cornwall School District,Cornwall Consolidated School,Public Schools,310111,"5 Cream Hill Rd.
West Cornwall, CT 06796
",41.876399208000066, -73.34113794599995,6796,860-672-6617,,,,
Hartford School District,Kennelly School,Public Schools,641011,"180 White Street
Hartford, CT 06114
",41.73480795900008, -72.69509427299994,6114,860-695-3860,,,,
Wallingford School District,Dag  Hammarskjold Middle School,Public Schools,1485211,"106 Pond Hill Rd.
Wallingford, CT 06492
",41.43408388300003, -72.81971501199996,6492,203-294-3700,,,,
Milford School District,Meadowside School,Public Schools,840711,"80 Seeman's Ln.
Milford, CT 06460
",41.21030771300008, -73.07381243199995,6460,203-783-3555,,,,
New Haven School District,Worthington Hooker School,Public Schools,933811,"180 Canner St.
New Haven, CT 06511
",41.323973401000046, -72.91406814699997,6511,203-691-3700,,,,
Learn,Marine Science Magnet High School of Southeastern Connecticut,Regional Education Service Center Schools,2456114,"130 Shennecossett Road
Groton, CT 06340
",41.32932805400003, -72.07049184899995,6340,860-434-4800,,,,
Southington School District,Strong Elementary School,Public Schools,1310811,"820 Marion Ave.
Plantsville, CT 06479
",41.573642911000036, -72.91928798399994,6479,860-628-3314,,,,
Vernon School District,Northeast School,Public Schools,1460311,"69 East St.
Rockville, CT 06066
",41.86148531400005, -72.43167993599997,6066,860-870-6080,,,,
Middletown School District,Lawrence School,Public Schools,831311,"Kaplan Dr.
Middletown, CT 06457
",41.585745908000035, -72.68296114699996,6457,860-632-2158,,,,
East Windsor School District,East Windsor High School,Public Schools,476111,"76 South Main St.
East Windsor, CT 06088
",41.901548148000074, -72.61057038399997,6088,860-623-3361,,,,
Simsbury School District,Henry James Memorial School,Public Schools,1285111,"155 Firetown Rd.
Simsbury, CT 06070
",41.88311641800004, -72.81346220399996,6070,860-651-3341,,,,
West Haven School District,Alma E. Pagels School,Public Schools,1560811,"26 Benham Hill Rd.
West Haven, CT 06516
",41.24287465400005, -72.98755146299999,6516,203-931-6840,,,,
Hamden School District,Hamden School District,Public School Districts,620011,"60 PUTNAM AVENUE
HAMDEN, CT 06517
",41.34574346100004, -72.91428592899996,6517,203-407-2000,,,,
Regional School District 16,Community School,Regional Schools,2160212,"12 Center St.
Prospect, CT 06712
",41.49999442600006, -72.97738353999995,6712,203-758-6674,,,,
Vernon School District,Vernon Center Middle School,Public Schools,1465111,"777 Hartford Tpke.
Vernon, CT 06066
",41.84115424600003, -72.46211894299995,6066,860-870-6070,,,,
Torrington School District,Torrington Middle School,Public Schools,1435111,"200 Middle School Rd.
Torrington, CT 06790
",41.83714837200006, -73.07640768899995,6790,860-496-4050,,,,
East Hampton School District,East Hampton High School,Public Schools,426111,"15 North Maple St.
East Hampton, CT 06424
",41.58260600300008, -72.51210764499996,6424,860-365-4030,,,,
Unified School District #1,Hartford Correctional Center,State Agency Facilities,3360615,"177 Weston St.
Hartford, CT 06120
",41.792285407000065, -72.66036688499997,6120,860-240-1855,,,,
West Hartford School District,Aiken School,Public Schools,1551611,"212 King Philip Dr.
West Hartford, CT 06117
",41.799967191000064, -72.74637542299996,6117,860-233-6994,,,,
Enfield School District,Nathan Hale School,Public Schools,491111,"5 Taylor Rd.
Enfield, CT 06082
",41.985261396000055, -72.51406723099996,6082,860-763-8899,,,,
Enfield School District,Prudence Crandall School,Public Schools,491511,"150 Brainard Rd.
Enfield, CT 06082
",42.017772372000024, -72.56985581199996,6082,860-253-6464,,,,
Danbury School District,King Street Intermediate School,Public Schools,341711,"151 South King St.
Danbury, CT 06811
",41.42506423700007, -73.50258456199998,6811,203-797-4761,,,,
Hartford School District,STEM Magnet School at Annie-Fisher,Public Schools,642511,"280 Plainfield Street
Hartford, CT 06112
",41.791478331000064, -72.70780278899997,6112,860-695-3500,,,,
Ridgefield School District,Branchville Elementary School,Public Schools,1180611,"40 Florida Rd.
Ridgefield, CT 06877
",41.27010991800006, -73.44579683899997,6877,203-544-7980,,,,
New Haven School District,Engineering - Science University Magnet School,Public Schools,931711,"130B Leeder Hill
Hamden, CT 06517
",41.346373666000034, -72.92155376099998,6517,203-946-5659,,,,
Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Public Schools,341911,"201 University Blvd.
Danbury, CT 06810
",41.39370038700008, -73.49222358999998,6810,203-778-7462,,,,
Coventry School District,Coventry School District,Public School Districts,320011,"1700 Main Street
Coventry, CT 06238
",41.781443299000045, -72.31480199299995,6238,860-742-7317,,,,
Learn,Three Rivers Middle College Magnet School,Regional Education Service Center Schools,2456214,"574 New London Turnpike
Norwich, CT 06360
",41.510326177000024, -72.10448416199995,6360,860-859-9203,,,,
Connecticut Technical High School System,Eli Whitney Technical High School,CT Technical High Schools,9001416,"100 Fairview Ave
Hamden, CT 06514
",41.34121401600004, -72.94145948099998,6514,203-397-4031,,,,
Stafford School District,Stafford Middle School,Public Schools,1345211,"21 Levinthal Run
Stafford Springs, CT 06076
",41.97211549100007, -72.30306878299996,6076,860-684-2785,,,,
Hartford School District,Hartford Magnet Trinity College Academy,Public Schools,645411,"53 Vernon Street
Hartford, CT 06103
",41.75125322700006, -72.68669494299996,6103,860-757-6201,,,,
Milford School District,Milford School District,Public School Districts,840011,"70 WEST RIVER STREET
MILFORD, CT 06460
",41.22661134900005, -73.05897680399994,6460,203-783-3402,,,,
East Hampton School District,Memorial School,Public Schools,420111,"20 Smith St.
East Hampton, CT 06424
",41.57067237000007, -72.48792696399994,6424,860-365-4020,,,,
Regional School District 16,Laurel Ledge School,Regional Schools,2160112,"30 Highland Ave.
Beacon Falls, CT 06403
",41.44695298200003, -73.06087922099994,6403,203-729-5355,,,,
Regional School District 12,Shepaug Valley School,Regional Schools,2120312,"159 South Street
Washington, CT 06793
",41.633436188000076, -73.29573822099997,6793,860-868-7326,,,,
Stamford School District,Hart School,Public Schools,1352211,"61 Adams Ave.
Stamford, CT 06902
",41.05762806800004, -73.54778511999996,6902,203-977-5082,,,,
Willington School District,Hall Memorial School,Public Schools,1605111,"111 River Rd.
West Willington, CT 06279
",41.85142579200004, -72.30180205299996,6279,860-429-9391,,,,
Meriden School District,Casimir Pulaski School,Public Schools,801111,"100 Clearview Ave.
Meriden, CT 06450
",41.522942887000056, -72.80483978699993,6450,203-238-1273,,,,
Wallingford School District,James H. Moran Middle School,Public Schools,1485311,"141 Hope Hill Rd.
Wallingford, CT 06492
",41.48495742700004, -72.83380285899995,6492,203-741-2900,,,,
Connecticut Technical High School System,Windham Technical High School,CT Technical High Schools,9002416,"210 Birch St.
Willimantic, CT 06226
",41.71818459900004, -72.22088664599994,6226,860-456-3879,,,,
Plainfield School District,Plainfield Memorial School,Public Schools,1090311,"95 Canterbury Rd.
Plainfield, CT 06374
",41.68305667800007, -71.92916794099995,6374,860-564-6440,,,,
Regional School District 16,Woodland Regional High School,Regional Schools,2166012,"135 Back Rimmon Rd.
Beacon Falls, CT 06403
",41.425074607000056, -73.08210194799994,6403,203-881-5551,,,,
Regional School District 14,Bethlehem Elementary School,Regional Schools,2140112,"92 East St.
Bethlehem, CT 06751
",41.63981772100004, -73.19966988699997,6751,203-266-7506,,,,
Danbury School District,Danbury High School,Public Schools,346111,"43 Clapboard Ridge Rd.
Danbury, CT 06811
",41.41685653300004, -73.47287758399995,6811,203-797-4803,,,,
Waterbury School District,Sprague School,Public Schools,1512011,"1443 Thomaston Ave.
Waterbury, CT 06704
",41.586464758000034, -73.04965498899998,6704,203-574-8189,,,,
Bridgeport School District,Multicultural Magnet School,Public Schools,154611,"700 Palisade Ave.
Bridgeport, CT 06610
",41.202485773000035, -73.16534153999999,6610,203-576-7505,,,,
Rocky Hill School District,West Hill School,Public Schools,1190511,"95 Cronin Dr.
Rocky Hill, CT 06067
",41.662737040000025, -72.67895586999998,6067,860-258-7761,,,,
Manchester School District,Highland Park School,Public Schools,770411,"397 Porter St.
Manchester, CT 06040
",41.77220662800005, -72.49446040999999,6040,860-647-3430,,,,
Seymour School District,Seymour School District,Public School Districts,1240011,"98 Bank Street, Annex Building
SEYMOUR, CT 06483
",41.39709720500008, -73.07636127999996,6483,203-888-4564,,,,
Bridgeport School District,Dunbar School,Public Schools,154111,"445 Union Ave.
Bridgeport, CT 06607
",41.177997151000056, -73.16441495099997,6607,203-576-7194,,,,
Milford School District,Harborside Middle School,Public Schools,845211,"175 High St.
Milford, CT 06460
",41.22403139000005, -73.06163626999995,6460,203-783-3523,,,,
Orange School District,Mary L. Tracy School,Public Schools,1070211,"650 School House Lane
Orange, CT 06477
",41.280917904000034, -73.02504986599996,6477,203-891-8028,,,,
Bristol School District,Bristol School District,Public School Districts,170011,"129 Church Street, Box 450
Bristol, CT 06011
",41.669460480000055, -72.94535281399999,6011,860-584-7000,,,,
Westport School District,Saugatuck Elementary School,Public Schools,1580811,"170 Riverside Ave.
Westport, CT 06880
",41.13309561300008, -73.36679506299998,6880,203-221-2910,,,,
Pomfret School District,Pomfret Community School,Public Schools,1120111,"20 Pomfret St.
Pomfret Center, CT 06259
",41.859639257000026, -71.95918718699994,6259,860-928-2718,,,,
Waterbury School District,"Waterbury Arts Magnet School """,Middle),Public Schools,1515011,"16 South Elm St.
Waterbury, CT 06706
",41.55409963200003, -73.03716205499995,6706,1,,,
Fairfield School District,Riverfield School,Public Schools,511211,"1625 Mill Plain Rd.
Fairfield, CT 06824
",41.162454602000025, -73.26642670799998,6824,203-255-8328,,,,
Judicial Centers,Litchfield Community Residential Program,State Agency Facilities,3481315,"550 Goshen Road
Litchfield, CT 06759
",41.77898829800006, -73.20449281199996,6759,860-567-9423,,,,
Westport School District,Westport School District,Public School Districts,1580011,"110 MYRTLE AVENUE
WESTPORT, CT 06880
",41.14501020700004, -73.36065685799997,6880,203-341-1025,,,,
Vernon School District,Skinner Road School,Public Schools,1461011,"90 Skinner Rd.
Vernon, CT 06066
",41.85578683700004, -72.49269513799999,6066,860-870-6180,,,,
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,CT Technical High Schools,9002716,"189 Fort Hill Rd.
Groton, CT 06340
",41.347075010000026, -72.02200625999996,6340,860-448-0220,,,,
Berlin School District,Berlin High School,Public Schools,76111,"139 Patterson Way
Berlin, CT 06037
",41.622492746000034, -72.75365784399997,6037,860-828-6577,,,,
New Haven School District,Betsy Ross Arts Magnet School,Public Schools,935511,"150 Kimberly Ave.
New Haven, CT 06519
",41.28849582200007, -72.93484183699996,6519,203-946-8974,,,,
Regional School District 13,Middlefield Memorial School,Regional Schools,2130412,"124 Hubbard St.
Middlefield, CT 06455
",41.52173060200005, -72.69264417599999,6455,860-349-7235,,,,
North Stonington School District,North Stonington Elementary School,Public Schools,1020111,"311 Norwich/Westerly Rd.
North Stonington, CT 06359
",41.458536682000044, -71.88019625999993,6359,860-535-2805,,,,
Ridgefield School District,Farmingville Elementary School,Public Schools,1180411,"324 Farmington Rd.
Ridgefield, CT 06877
",41.30130831300005, -73.49987961499994,6877,203-431-2830,,,,
West Haven School District,Savin Rock Community School,Public Schools,1561411,"50 Park St.
West Haven, CT 06516
",41.26171331000006, -72.94048420799999,6516,203-931-6850,,,,
Clinton School District,Clinton School District,Public School Districts,270011,"137 B GLENWOOD CIRCLE
CLINTON, CT 06413
",41.30437798400004, -72.52457998699998,6413,860-664-6500,,,,
Seymour School District,Seymour Middle School,Public Schools,1245111,"211 Mountain Rd.
Seymour, CT 06483
",41.37450787200004, -73.11100463199995,6483,203-888-4513,,,,
Regional School District 05,Amity Regional High School,Regional Schools,2056112,"25 Newton Rd.
Woodbridge, CT 06525
",41.35586971400005, -73.01087710399997,6525,203-397-4830,,,,
Bloomfield School District,Bloomfield School District,Public School Districts,110011,"1133 BLUE HILLS AVENUE
BLOOMFIELD, CT 06002
",41.83288936400004, -72.69784947399995,6002,860-769-4211,,,,
Common Ground High School District,Common Ground High School,Public Charter Schools,2686113,"358 Springside Ave.
New Haven, CT 06515
",41.33685130200007, -72.95850704799994,6515,203-389-4333,,,,
New Haven School District,Clinton Avenue School,Public Schools,930611,"293 Clinton Ave.
New Haven, CT 06513
",41.318329524000035, -72.89259652799996,6513,203-691-3300,,,,
Milford School District,Pumpkin Delight School,Public Schools,841011,"27 Art St.
Milford, CT 06460
",41.20439004600007, -73.07894057599998,6460,203-783-3531,,,,
Newington School District,Ruth Chaffee School,Public Schools,940711,"160 Superior Ave.
Newington, CT 06111
",41.68247823300004, -72.71647370999995,6111,860-666-4687,,,,
Middletown School District,Keigwin Middle School,Public Schools,831511,"99 Spruce St.
Middletown, CT 06457
",41.577799612000035, -72.67714050199999,6457,860-632-2433,,,,
